clip,split,truth_events,reported_events,matched_events,false_reports,missed_events,annotated_car_frame_coverage,margin_mae_m,identity_claims,identity_correct
2d66baf262858c4a,test,1,0,0,0,1,0.0,,0,0
f6fad7b0f0f43837,test,1,0,0,0,1,0.0,,0,0
31c20cc1705a7461,test,0,0,0,0,0,0.0,,0,0
f49f580df56203e1,test,1,0,0,0,1,0.0,,0,0
1033f9c11e8d6c4b,test,0,0,0,0,0,0.0,,0,0
c2b1bd79b7d86a5b,test,1,0,0,0,1,0.0,,0,0
420c2994d4fa0cf6,test,1,0,0,0,1,0.0,,0,0
6ebc447e7909037d,test,0,0,0,0,0,0.0,,0,0
a6130bc8ae524232,test,0,0,0,0,0,0.0,,0,0
e0886a4dd1e3a903,test,1,0,0,0,1,0.0,,0,0
87b5ea133eb025bf,test,0,0,0,0,0,0.0,,0,0
49c612c2be9758e7,test,0,0,0,0,0,0.0,,0,0
b1e15240d60e2001,test,0,0,0,0,0,0.0,,0,0
878d163cc931f40e,test,1,0,0,0,1,0.0,,0,0
ce92ab196c2e1b3c,test,1,0,0,0,1,0.0,,0,0
276e102e4a8e9c05,test,0,0,0,0,0,0.0,,0,0
c16ceb5334e9feff,test,1,0,0,0,1,0.0,,0,0
04b09f2807fdeca7,test,0,0,0,0,0,0.0,,0,0
e0a0cdd7a83a4060,test,0,0,0,0,0,0.0,,0,0
2404e61f7371e134,test,0,0,0,0,0,0.0,,0,0
0e18cafa2ff5d208,test,0,0,0,0,0,0.0,,0,0
a50b51146979bded,test,0,0,0,0,0,0.0,,0,0
a8066918657d74d2,test,1,0,0,0,1,0.0,,0,0
7ef3636e4ff89ffd,test,1,0,0,0,1,0.0,,0,0
8adc20b427592a34,test,0,0,0,0,0,0.0,,0,0
75f732f9eaf9e10a,test,1,0,0,0,1,0.0,,0,0
e99055ffc96c4ad9,test,0,0,0,0,0,0.0,,0,0
0d32ff34150246a9,test,1,0,0,0,1,0.0,,0,0
f84f21ea9c8744f8,test,0,0,0,0,0,0.0,,0,0
61f6b435a5d6638f,test,1,0,0,0,1,0.0,,0,0
9439c526cd20548e,test,1,0,0,0,1,0.0,,0,0
8afd096549d86199,test,1,0,0,0,1,0.0,,0,0
431be1d791f7cb89,test,0,0,0,0,0,0.0,,0,0
82adb47926f286f4,test,0,0,0,0,0,0.0,,0,0
47e3d12712af2d0b,test,0,0,0,0,0,0.0,,0,0
01e2e558d9987d61,test,0,0,0,0,0,0.0,,0,0
a424bc61e40c9b1e,test,0,0,0,0,0,0.0,,0,0
c95843b89a72c6ec,test,0,0,0,0,0,0.0,,0,0
c177ebf534aca041,test,1,0,0,0,1,0.0,,0,0
3ca1d6860de44b24,test,0,0,0,0,0,0.0,,0,0
